canonical_skill,category,introduction,business_scenario
Python,Programming Languages,Python 是一种通用编程语言，广泛用于后端服务、数据流程、自动化脚本和应用型机器学习开发。,团队可以用 Python 编写 ETL 任务、内部 API 和模型评估脚本，支持日常运营、分析与报表流程。
Go,Programming Languages,Go 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 Go 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
Java,Programming Languages,Java 是成熟的生产级编程语言，广泛用于后端服务、企业系统和大型代码库开发。,团队可以用 Java 实现订单路由、账户流程或需要长期维护的集成服务。
JavaScript,Programming Languages,JavaScript 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 JavaScript 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
C++,Programming Languages,C++ 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 C++ 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
Scala,Programming Languages,Scala 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 Scala 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
TypeScript,Programming Languages,TypeScript 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 TypeScript 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
R,Programming Languages,R 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 R 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
C#,Programming Languages,C# 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 C# 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
PHP,Programming Languages,PHP 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 PHP 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
Ruby,Programming Languages,Ruby 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 Ruby 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
Rust,Programming Languages,Rust 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 Rust 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
Kotlin,Programming Languages,Kotlin 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 Kotlin 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
Swift,Programming Languages,Swift 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 Swift 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
MATLAB,Programming Languages,MATLAB 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 MATLAB 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
VB.NET,Programming Languages,VB.NET 是一种编程语言，通常用于实现业务逻辑、自动化流程和生产环境应用代码。,团队可以用 VB.NET 开发处理交易、用户事件或内部运营数据的服务与批处理任务，支撑日常业务运转。
REST APIs,Backend & APIs,REST APIs 是基于 HTTP 的接口形式，便于不同应用以标准化方式交换数据和触发业务动作。,团队可以用 REST APIs 打通订单、计费、CRM 和客服系统，让关键业务更新自动在多系统间流转。
gRPC,Backend & APIs,gRPC 是高性能的远程调用框架，适合后端系统之间进行类型明确、低延迟的通信。,团队可以用 gRPC 连接搜索、推荐或风控等内部微服务，支撑对实时性要求较高的业务流程。
Microservices,Backend & APIs,Microservices 是一种架构模式，把系统拆分成多个可以独立部署和扩展的小服务。,团队可以用微服务拆开计费、身份、搜索和通知模块，让不同业务能力独立演进和扩容。
Flask,Backend & APIs,Flask 是轻量级 Python Web 框架，适合快速搭建 API 和内部服务。,团队可以用 Flask 上线内部审核工具或指标查询接口，服务运营和分析同学的日常工作。
Node.js,Backend & APIs,Node.js 是一种后端技术，常用于提供服务接口、打通系统之间的数据流，并组织应用执行流程。,团队可以用 Node.js 连接支付、账户、库存或工单系统，让多个业务平台之间的数据与操作保持同步。
